Tag #,Site ,Disturbance_Level,Coral species,2014,2015a_pre,2015a_post,2015b,2015c,2016a,2016b,2017,2018,2019,2014,2015a_pre,2015a_post,2015b
407_1103_1378,25,HIGH,Porites lobata,symbio_micro,NA,NA,NA,bleaching3_2018run,NA,NA,2017samples,sampled,sampled,1,NA,NA,NA
408,25,HIGH,Favites halicora,bleaching3_2018run,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
409,25,HIGH,Montipora foliosa,symbio_micro,NA,NA,NA,bleaching3_2018run,NA,NA,dead,NA,NA,1,NA,NA,NA
410_893,25,HIGH,Platygyra sp,platy,NA,NA,NA,platy,NA,NA,NA,NA,NA,1,NA,NA,NA
411,25,HIGH,Hydnophora microconos,symbio_micro,NA,NA,NA,bleaching3_2018run,NA,NA,dead,NA,NA,1,NA,NA,NA
412_892_1297,25,HIGH,Favites pentagona,platy,NA,NA,NA,platy,NA,NA,NA,*Barely Alive?,NA,1,NA,NA,NA
413,25,HIGH,Pocillopora eydouxi,symbio_micro,NA,NA,NA,bleaching3_2018run,NA,NA,NA,NA,NA,1,NA,NA,NA
414,25,HIGH,Montipora foliosa,symbio_micro,NA,NA,NA,bleaching3_2018run,NA,NA,dead,NA,NA,1,NA,NA,NA
415,25,HIGH,Favia matthai,bleaching3_2018run,NA,NA,NA,NA,NA,NA,2017samples,sampled,sampled,1,NA,NA,NA
416_1104,25,HIGH,Porites lobata,FAIL_symbio_micro,NA,NA,NA,bleaching3_2018run,NA,NA,2017samples,sampled,dead,FAIL_1,NA,NA,NA
417,25,HIGH,Pocillopora eydouxi,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
418,25,HIGH,Montipora foliosa,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
419,25,HIGH,Pocillopora eydouxi,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
420,25,HIGH,Porites lobata,symbio_micro,NA,NA,NA,bleaching3_2018run,NA,NA,2017samples,sampled,NA,1,NA,NA,NA
421,25,HIGH,Porites lobata,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
422,25,HIGH,Pocillopora eydouxi,symbio_micro,NA,NA,NA,bleaching3_2018run,NA,NA,dead,NA,NA,1,NA,NA,NA
423,25,HIGH,Montipora foliosa,symbio_micro,NA,NA,NA,bleaching3_2018run,NA,NA,dead,NA,NA,1,NA,NA,NA
424,25,HIGH,Montipora foliosa,symbio_micro,NA,NA,NA,bleaching3_2018run,NA,NA,dead,NA,NA,1,NA,NA,NA
425,25,HIGH,Porites lobata,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
426,25,HIGH,Pocillopora eydouxi,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
427,30,VERYHIGH,Pocillopora eydouxi,symbio_micro,NA,NA,compartment,bleaching3_2018run,dead,NA,NA,NA,NA,1,NA,NA,1
428,30,VERYHIGH,Montipora foliosa,symbio_micro,NA,NA,compartment,sampled,gone,NA,NA,NA,NA,1,NA,NA,1
429,30,VERYHIGH,Hydnophora microconos,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
430,30,VERYHIGH,Porites lobata,symbio_micro,NA,NA,compartment,bleaching3_2018run,barely alive,dead,NA,NA,NA,1,NA,NA,1
431,30,VERYHIGH,Favia sp,bleaching3_2018run,NA,NA,bleaching3_2018run,bleaching3_2018run,dead,NA,NA,NA,NA,1,NA,NA,1
432,30,VERYHIGH,Pocillopora eydouxi,symbio_micro,NA,NA,NA,NA,gone,NA,NA,NA,NA,1,NA,NA,NA
433,30,VERYHIGH,Hydnophora microconos,symbio_micro,NA,NA,NA,sampled,gone,NA,NA,NA,NA,1,NA,NA,NA
434,30,VERYHIGH,Porites lobata,symbio_micro,NA,NA,compartment,sampled,gone,NA,NA,NA,NA,1,NA,NA,1
435,30,VERYHIGH,Favites pentagona,platy,NA,NA,platy,platy,gone,NA,NA,NA,NA,1,NA,NA,1
436,30,VERYHIGH,Pocillopora eydouxi,symbio_micro,NA,NA,compartment,NA,NA,NA,NA,NA,NA,1,NA,NA,1
437,30,VERYHIGH,Montipora foliosa,symbio_micro,NA,NA,compartment,bleaching3_2018run,dead,NA,NA,NA,NA,1,NA,NA,1
438,30,VERYHIGH,Favia sp,symbio_micro,NA,NA,sampled,sampled,gone,NA,NA,NA,NA,1,NA,NA,sampled
439,30,VERYHIGH,Favites pentagona,platy,NA,NA,platy,platy,platy,bleaching2,NA,NA,NA,1,NA,NA,1
440,30,VERYHIGH,Pocillopora eydouxi,symbio_micro,NA,NA,compartment,bleaching3_2018run,dead,NA,NA,NA,NA,1,NA,NA,1
441_1304,30,VERYHIGH,Porites lobata,bleaching2,NA,NA,compartment,bleaching2,bleaching2,bleaching2,NA,sampled,sampled,1,NA,NA,1
442,30,VERYHIGH,Platygyra sp,platy,NA,NA,platy,platy,gone,NA,NA,NA,NA,1,NA,NA,1
443,30,VERYHIGH,Montipora foliosa,symbio_micro,NA,NA,compartment,bleaching3_2018run,dead,NA,NA,NA,NA,1,NA,NA,1
444,30,VERYHIGH,Hydnophora microconos,symbio_micro,NA,NA,sampled,sampled,gone,NA,NA,NA,NA,1,NA,NA,sampled
445_683,30,VERYHIGH,Porites lobata,symbio_micro,NA,NA,compartment,sampled,gone,NA,NA,NA,NA,1,NA,NA,1
446,30,VERYHIGH,Montipora foliosa,symbio_micro,NA,NA,compartment,bleaching3_2018run,dead,NA,NA,NA,NA,1,NA,NA,1
447,27,VERYHIGH,Platygyra sp,platy,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
448,27,VERYHIGH,Montipora foliosa,compartment,NA,compartment,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA
449,27,VERYHIGH,Favites pentagona,platy,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
450,27,VERYHIGH,Pocillopora eydouxi,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
451_871,27,VERYHIGH,Porites lobata,compartment,NA,compartment,compartment,bleaching2,bleaching2,barely alive,dead,NA,NA,1,NA,1,1
452,27,VERYHIGH,Pocillopora eydouxi,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
453,27,VERYHIGH,Porites lobata,compartment,NA,compartment,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA
454,27,VERYHIGH,Favites pentagona,platy,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
455,27,VERYHIGH,Platygyra sp,platy,NA,platy,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA
456,27,VERYHIGH,Montipora foliosa,compartment,NA,compartment,compartment,NA,NA,NA,NA,NA,NA,1,NA,1,1
457,27,VERYHIGH,Hydnophora microconos,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
458,27,VERYHIGH,Porites lobata,FAIL_symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAIL_1,NA,NA,NA
459,27,VERYHIGH,Porites lobata,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
460,27,VERYHIGH,Pocillopora eydouxi,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
461,27,VERYHIGH,Platygyra sp,platy,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
462,27,VERYHIGH,Pocillopora eydouxi,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
463,27,VERYHIGH,Pocillopora eydouxi,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
464,27,VERYHIGH,Porites lobata,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
465,27,VERYHIGH,Favites halicora,bleaching3_2018run,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
466,27,VERYHIGH,Platygyra sp,platy,NA,platy,platy,platy,gone,NA,NA,NA,NA,1,NA,1,1
467,27,VERYHIGH,Porites lobata,compartment,NA,compartment,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA
468,27,VERYHIGH,Pocillopora eydouxi,compartment,NA,compartment,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA
469,27,VERYHIGH,Pocillopora eydouxi,compartment,NA,compartment,compartment,NA,NA,NA,NA,NA,NA,1,NA,1,1
470,27,VERYHIGH,Platygyra sp,platy,NA,platy,platy,platy,gone,NA,NA,NA,NA,1,NA,1,1
471,27,VERYHIGH,Favites sp,sampled_skip_sp,NA,sampled_skip_sp,sampled,sampled,gone,NA,NA,NA,NA,sampled_skip_sp,NA,sampled_skip_sp,sampled
472,27,VERYHIGH,Pocillopora eydouxi,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
473,27,VERYHIGH,Favites pentagona,platy,gone,NA,NA,NA,NA,NA,NA,NA,NA,1,gone,NA,NA
474,27,VERYHIGH,Porites lobata,compartment,NA,compartment,compartment,sampled,gone,NA,NA,NA,NA,1,NA,1,1
475,27,VERYHIGH,Montipora foliosa,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
476,27,VERYHIGH,Porites lobata,compartment,NA,compartment,compartment,sampled,gone,NA,NA,NA,NA,1,NA,1,1
477,27,VERYHIGH,Pocillopora eydouxi,symbio_micro,NA,compartment,compartment,bleaching3_2018run,dead,NA,NA,NA,NA,1,NA,1,1
478,32,VERYHIGH,Favia matthai,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
479,32,VERYHIGH,Platygyra sp,platy,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
480,32,VERYHIGH,Montipora foliosa,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
481,32,VERYHIGH,Pocillopora eydouxi,symbio_micro,NA,NA,sampled,NA,NA,NA,NA,NA,NA,1,NA,NA,sampled
482_897,32,VERYHIGH,Favites pentagona,platy,NA,NA,platy,platy,platy,bleaching2,2017samples,NA,gone,1,NA,NA,1
483,32,VERYHIGH,Hydnophora microconos,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
484,32,VERYHIGH,Montipora foliosa,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
485,32,VERYHIGH,Pocillopora eydouxi,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
486_740,32,VERYHIGH,Platygyra sp,platy,NA,NA,platy,NA,NA,NA,NA,NA,NA,1,NA,NA,1
487,32,VERYHIGH,Favites pentagona,platy,NA,NA,platy,platy,NA,dead,NA,NA,NA,1,NA,NA,1
488,32,VERYHIGH,Porites lobata,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
489,32,VERYHIGH,Porites lobata,symbio_micro,NA,NA,bleaching3_2018run,bleaching3_2018run,dead,NA,NA,NA,NA,1,NA,NA,1
490,32,VERYHIGH,Montipora foliosa,symbio_micro,NA,NA,bleaching3_2018run,bleaching3_2018run,dead,NA,NA,NA,NA,1,NA,NA,1
491_738,32,VERYHIGH,Pocillopora eydouxi,symbio_micro,NA,NA,sampled,NA,NA,NA,NA,NA,NA,1,NA,NA,sampled
492,32,VERYHIGH,Favites pentagona,platy,NA,NA,platy,platy,dead,NA,NA,NA,NA,1,NA,NA,1
493,32,VERYHIGH,Favia matthai,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
494,32,VERYHIGH,Pocillopora eydouxi,symbio_micro,NA,NA,NA,NA,dead,NA,NA,NA,NA,1,NA,NA,NA
495,32,VERYHIGH,Porites lobata,symbio_micro,NA,NA,NA,NA,NA,NA,gone,NA,NA,1,NA,NA,NA
496,32,VERYHIGH,Montipora foliosa,symbio_micro,NA,NA,bleaching3_2018run,bleaching3_2018run,dead,NA,NA,NA,NA,1,NA,NA,1
497_745,32,VERYHIGH,Favites pentagona,platy,NA,NA,platy,NA,platy,bleaching2,2017samples,*found tag in sand,gone,1,NA,NA,1
498,32,VERYHIGH,Pocillopora eydouxi,symbio_micro,NA,NA,bleaching3_2018run,bleaching3_2018run,dead,NA,NA,NA,NA,1,NA,NA,1
499,32,VERYHIGH,Porites lobata,bleaching2,NA,NA,bleaching2,bleaching2,bleaching2,dead,NA,NA,NA,1,NA,NA,1
500,32,VERYHIGH,Favites sp,platy,NA,NA,NA,platy,platy,bleaching2,2017samples,NA,gone,1,NA,NA,NA
501,32,VERYHIGH,Montipora foliosa,symbio_micro,NA,NA,bleaching3_2018run,bleaching3_2018run,dead,NA,NA,NA,NA,1,NA,NA,1
502,14,MED,Porites lobata,symbio_micro,NA,NA,NA,NA,dead or gone,NA,NA,NA,NA,1,NA,NA,NA
503,14,MED,Pocillopora eydouxi,symbio_micro,NA,NA,NA,NA,gone,NA,NA,NA,NA,1,NA,NA,NA
504,14,MED,Platygyra sp,platy,NA,NA,NA,NA,dead or gone,NA,NA,NA,NA,1,NA,NA,NA
505,14,MED,Pocillopora eydouxi,symbio_micro,NA,NA,NA,NA,dead or gone,NA,NA,NA,NA,1,NA,NA,NA
506,14,MED,Montipora foliosa,symbio_micro,NA,NA,NA,NA,dead or gone,NA,NA,NA,NA,1,NA,NA,NA
507,14,MED,Porites lobata,symbio_micro,NA,NA,NA,NA,dead or gone,NA,NA,NA,NA,1,NA,NA,NA
508,14,MED,Montipora foliosa,symbio_micro,NA,NA,NA,NA,dead or gone,NA,NA,NA,NA,1,NA,NA,NA
509,14,MED,Pocillopora eydouxi,symbio_micro,NA,NA,NA,NA,dead or gone,NA,NA,NA,NA,1,NA,NA,NA
510,14,MED,Montipora foliosa,symbio_micro,NA,NA,NA,NA,dead or gone,NA,NA,NA,NA,1,NA,NA,NA
511,14,MED,Porites lobata,symbio_micro,NA,NA,NA,NA,dead or gone,NA,NA,NA,NA,1,NA,NA,NA
512,14,MED,Montipora foliosa,symbio_micro,NA,NA,NA,NA,dead or gone,NA,NA,NA,NA,1,NA,NA,NA
513,14,MED,Porites lobata,symbio_micro,NA,NA,NA,NA,dead or gone,NA,NA,NA,NA,1,NA,NA,NA
514,14,MED,Montipora foliosa,symbio_micro,NA,NA,NA,NA,gone,NA,NA,NA,NA,1,NA,NA,NA
515,14,MED,Porites lobata,symbio_micro,NA,NA,NA,NA,barely alive,NA,NA,NA,NA,1,NA,NA,NA
516,14,MED,Montipora foliosa,symbio_micro,NA,NA,NA,NA,dead or gone,NA,NA,NA,NA,1,NA,NA,NA
517,14,MED,Montipora foliosa,symbio_micro,NA,NA,NA,NA,dead or gone,NA,NA,NA,NA,1,NA,NA,NA
518,14,MED,Montipora foliosa,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
519,8.5,-,Pocillopora eydouxi,sampled_skip_site8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,sampled_skip_site8.5,NA,NA,NA
520,8.5,-,Porites lobata,sampled_skip_site8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,sampled_skip_site8.5,NA,NA,NA
521,8.5,-,Platygyra sp,sampled_skip_site8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,sampled_skip_site8.5,NA,NA,NA
522,8.5,-,Pocillopora eydouxi,sampled_skip_site8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,sampled_skip_site8.5,NA,NA,NA
523,8.5,-,Porites lobata,sampled_skip_site8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,sampled_skip_site8.5,NA,NA,NA
524,8.5,-,Montipora foliosa,sampled_skip_site8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,sampled_skip_site8.5,NA,NA,NA
525,8.5,-,Porites lobata,sampled_skip_site8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,sampled_skip_site8.5,NA,NA,NA
526,8.5,-,Pocillopora eydouxi,sampled_skip_site8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,sampled_skip_site8.5,NA,NA,NA
527,8.5,-,Platygyra sp,sampled_skip_site8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,sampled_skip_site8.5,NA,NA,NA
528,8.5,-,Hydnophora microconos,sampled_skip_site8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,sampled_skip_site8.5,NA,NA,NA
529,8.5,-,Montipora foliosa,sampled_skip_site8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,sampled_skip_site8.5,NA,NA,NA
530,8.5,-,Porites lobata,sampled_skip_site8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,sampled_skip_site8.5,NA,NA,NA
531,8.5,-,Platygyra sp,sampled_skip_site8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,sampled_skip_site8.5,NA,NA,NA
532,8.5,-,Montipora foliosa,sampled_skip_site8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,sampled_skip_site8.5,NA,NA,NA
533,8.5,-,Porites lobata,sampled_skip_site8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,sampled_skip_site8.5,NA,NA,NA
534,8.5,-,Pocillopora eydouxi,sampled_skip_site8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,sampled_skip_site8.5,NA,NA,NA
535,8.5,-,Montipora foliosa,sampled_skip_site8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,sampled_skip_site8.5,NA,NA,NA
536,8.5,-,Hydnophora microconos,sampled_skip_site8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,sampled_skip_site8.5,NA,NA,NA
537,8.5,-,Favites pentagona,sampled_skip_site8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,sampled_skip_site8.5,NA,NA,NA
538,8.5,-,Montipora foliosa,sampled_skip_site8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,sampled_skip_site8.5,NA,NA,NA
539,8.5,-,Montipora foliosa,sampled_skip_site8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,sampled_skip_site8.5,NA,NA,NA
540,8.5,-,Favites pentagona,sampled_skip_site8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,sampled_skip_site8.5,NA,NA,NA
541,8.5,-,Pocillopora eydouxi,sampled_skip_site8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,sampled_skip_site8.5,NA,NA,NA
542,8.5,-,Montipora foliosa,sampled_skip_site8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,sampled_skip_site8.5,NA,NA,NA
543,8.5,-,Porites lobata,sampled_skip_site8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,sampled_skip_site8.5,NA,NA,NA
544,8.5,-,Platygyra sp,sampled_skip_site8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,sampled_skip_site8.5,NA,NA,NA
545,8.5,-,Pocillopora eydouxi,sampled_skip_site8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,sampled_skip_site8.5,NA,NA,NA
546,8.5,-,Porites lobata,sampled_skip_site8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,sampled_skip_site8.5,NA,NA,NA
547,8.5,-,Platygyra sp,sampled_skip_site8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,sampled_skip_site8.5,NA,NA,NA
548,8.5,-,Montipora foliosa,sampled_skip_site8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,sampled_skip_site8.5,NA,NA,NA
549,8.5,-,Porites lobata,sampled_skip_site8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,sampled_skip_site8.5,NA,NA,NA
550,8.5,-,Favia sp,sampled_skip_site8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,sampled_skip_site8.5,NA,NA,NA
551,8.5,-,Pocillopora eydouxi,sampled_skip_site8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,sampled_skip_site8.5,NA,NA,NA
552,8.5,-,Montipora foliosa,sampled_skip_site8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,sampled_skip_site8.5,NA,NA,NA
553,8.5,-,Platygyra sp,sampled_skip_site8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,sampled_skip_site8.5,NA,NA,NA
554,8.5,-,Porites lobata,sampled_skip_site8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,sampled_skip_site8.5,NA,NA,NA
555,8.5,-,Pocillopora eydouxi,sampled_skip_site8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,sampled_skip_site8.5,NA,NA,NA
556,8.5,-,Montipora foliosa,sampled_skip_site8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,sampled_skip_site8.5,NA,NA,NA
557,8.5,-,Platygyra sp,sampled_skip_site8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,sampled_skip_site8.5,NA,NA,NA
558,8.5,-,Hydnophora microconos,sampled_skip_site8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,sampled_skip_site8.5,NA,NA,NA
559,8.5,-,Pocillopora eydouxi,sampled_skip_site8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,sampled_skip_site8.5,NA,NA,NA
560,8.5,-,Platygyra sp,sampled_skip_site8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,sampled_skip_site8.5,NA,NA,NA
561,8.5,-,Porites lobata,sampled_skip_site8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,sampled_skip_site8.5,NA,NA,NA
562,8.5,-,Montipora foliosa,sampled_skip_site8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,sampled_skip_site8.5,NA,NA,NA
563,8.5,-,Pocillopora eydouxi,sampled_skip_site8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,sampled_skip_site8.5,NA,NA,NA
564,8.5,-,Porites lobata,sampled_skip_site8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,sampled_skip_site8.5,NA,NA,NA
565,8.5,-,Favites pentagona,sampled_skip_site8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,sampled_skip_site8.5,NA,NA,NA
566,8.5,-,Porites lobata,sampled_skip_site8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,sampled_skip_site8.5,NA,NA,NA
567,8.5,-,Hydnophora microconos,sampled_skip_site8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,sampled_skip_site8.5,NA,NA,NA
568,8.5,-,Platygyra sp,sampled_skip_site8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,sampled_skip_site8.5,NA,NA,NA
569,8.5,-,Pocillopora eydouxi,sampled_skip_site8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,sampled_skip_site8.5,NA,NA,NA
570,8.5,-,Pocillopora eydouxi,sampled_skip_site8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,sampled_skip_site8.5,NA,NA,NA
571,8.5,-,Platygyra sp,sampled_skip_site8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,sampled_skip_site8.5,NA,NA,NA
-,-,-,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
573,35,MED,Favia matthai,NA,sampled_skip_bothprepost,symbio_micro,NA,NA,gone,NA,NA,NA,NA,NA,sampled_skip_bothprepost,1,NA
573b,35,MED,Favia matthai,NA,NA,NA,sampled,sampled,gone,NA,NA,NA,NA,NA,NA,NA,sampled
574,35,MED,Montipora foliosa,NA,compartment,NA,compartment,NA,gone,NA,NA,NA,NA,NA,1,gone,1
575,35,MED,Favia sp,NA,platy,NA,NA,NA,NA,barely alive,barely alive,sampled,sampled,NA,1,gone,NA
575b,35,MED,Favia sp,NA,NA,NA,platy,NA,platy,NA,NA,NA,NA,NA,NA,NA,1
576,15,VERYLOW,Montipora foliosa,NA,symbio_micro,NA,NA,bleaching3_2018run,dead,NA,NA,NA,NA,NA,1,NA,NA
577,15,VERYLOW,Hydnophora microconos,NA,symbio_micro,NA,bleaching3_2018run,bleaching3_2018run,barely alive,barely alive,2017samples,NA,NA,NA,1,NA,1
578_1073,15,VERYLOW,Porites lobata,NA,bleaching2,NA,bleaching2,bleaching2,bleaching2,bleaching2,2017samples,NA,NA,NA,1,NA,1
579,15,VERYLOW,Pocillopora eydouxi,NA,symbio_micro,NA,bleaching3_2018run,bleaching3_2018run,dead,NA,NA,NA,NA,NA,1,NA,1
580_1264,15,VERYLOW,Porites lobata,NA,bleaching2,NA,bleaching2,bleaching2,bleaching2,NA,2017samples,sampled,NA,NA,1,NA,1
581,15,VERYLOW,Favia matthai,NA,bleaching3_2018run,NA,bleaching3_2018run,bleaching3_2018run,barely alive,barely alive,barely alive,NA,NA,NA,1,NA,1
582,15,VERYLOW,Pocillopora eydouxi,NA,symbio_micro,NA,bleaching3_2018run,bleaching3_2018run,dead,NA,NA,NA,NA,NA,1,NA,1
583,15,VERYLOW,Favites pentagona,NA,platy,NA,platy,platy,NA,barely alive,dead,NA,NA,NA,1,NA,1
583b,15,VERYLOW,Favites pentagona,NA,NA,NA,NA,NA,platy,bleaching2,2017samples,sampled,NA,NA,NA,NA,NA
584,15,VERYLOW,Montipora foliosa,NA,symbio_micro,NA,bleaching3_2018run,bleaching3_2018run,dead,NA,NA,NA,NA,NA,1,NA,1
585_1262,15,VERYLOW,Porites lobata,NA,bleaching2,NA,NA,bleaching2,bleaching2,bleaching2,2017samples,sampled,NA,NA,1,NA,NA
586,15,VERYLOW,Pocillopora eydouxi,NA,symbio_micro,NA,NA,sampled,gone,NA,NA,NA,NA,NA,1,NA,NA
587_1072,15,VERYLOW,Hydnophora microconos,NA,bleaching2,NA,bleaching2,bleaching2,bleaching2,bleaching2,2017samples,sampled,NA,NA,1,NA,1
588_1227,15,VERYLOW,Favites pentagona,NA,platy,NA,platy,platy,platy,bleaching2,2017samples,NA,NA,NA,1,NA,1
589,15,VERYLOW,Pocillopora eydouxi,NA,symbio_micro,NA,bleaching3_2018run,bleaching3_2018run,dead,NA,NA,NA,NA,NA,1,NA,1
590,15,VERYLOW,Hydnophora microconos,NA,bleaching2,NA,bleaching2,bleaching2,bleaching2,barely alive,barely alive,*Barely Alive,NA,NA,1,NA,1
591,15,VERYLOW,Porites lobata,NA,bleaching2,NA,bleaching2,bleaching2,bleaching2,bleaching2,2017samples,NA,NA,NA,1,NA,1
592_1269,15,VERYLOW,Favites pentagona,NA,platy,NA,platy,platy,platy,bleaching2,2017samples,sampled,NA,NA,1,NA,1
593,15,VERYLOW,Montipora foliosa,NA,symbio_micro,NA,bleaching3_2018run,bleaching3_2018run,dead,NA,NA,NA,NA,NA,1,NA,1
594,15,VERYLOW,Platygyra sp,NA,platy,NA,NA,platy,platy,bleaching2,2017samples,sampled,NA,NA,1,NA,NA
595,15,VERYLOW,Hydnophora microconos,NA,symbio_micro,NA,bleaching3_2018run,bleaching3_2018run,barely alive,barely alive,NA,NA,NA,NA,1,NA,1
596,15,VERYLOW,Porites lobata,NA,symbio_micro,NA,bleaching3_2018run,bleaching3_2018run,dead,NA,NA,NA,NA,NA,1,NA,1
597_1228,15,VERYLOW,Favites pentagona,NA,platy,NA,platy,platy,platy,bleaching2,2017samples,NA,NA,NA,1,NA,1
598,15,VERYLOW,Montipora foliosa,NA,symbio_micro,NA,bleaching3_2018run,bleaching3_2018run,dead,NA,NA,NA,NA,NA,1,NA,1
599,15,VERYLOW,Pocillopora eydouxi,NA,symbio_micro,NA,sampled,bleaching3_2018run,dead,NA,NA,NA,NA,NA,1,NA,1
